id,country_code1,hour,clicked
115,NE,7,0
116,BS,23,1
117,BI,10,0
118,CR,3,1
119,UY,8,0
120,BA,1,0
121,NG,1,1
122,DO,5,1
123,FR,9,0
124,MG,20,1
125,CH,24,0
126,DJ,0,1
127,CU,18,0
128,CO,17,1
129,MD,23,1
130,BY,20,1
131,DJ,0,0
132,HT,2,1
133,BO,7,1
134,PH,6,0
135,IT,6,1
136,VC,6,1
137,MV,4,1
138,BT,5,0
139,LV,17,1
140,BJ,16,1
141,AM,15,1
142,GR,6,1
143,MA,5,1
144,AT,8,0
145,PY,13,0
146,CA,10,1
147,MN,10,1
148,PY,20,0
149,TR,16,0
150,OM,14,0
151,AG,4,0
152,PH,21,1
153,NP,15,1
154,MC,2,0
155,PY,16,0
156,PG,5,1
157,LV,18,1
158,RU,5,0
159,NP,23,0
160,BY,15,0
161,SB,4,1
162,BH,17,1
163,RS,17,1
164,DZ,16,0
165,LT,8,1
166,ME,6,0
167,ST,14,0
168,ST,13,0
169,CN,2,1
170,NZ,17,1
171,BA,6,0
172,TV,16,0
173,CL,16,0
174,BD,8,0
175,AG,2,0
176,VA,4,1
177,TW,15,0
178,CG,6,1
179,IE,18,1
180,MW,24,0
181,QA,14,0
182,AE,13,0
183,GE,22,0
184,CN,7,1
185,TR,5,0
186,NL,17,0
187,MU,18,1
188,UG,7,0
189,HR,16,1
190,NZ,7,0
191,BA,0,1
192,BW,21,0
193,MZ,16,0
194,BG,0,1
195,PY,22,1
196,SK,7,1
197,IQ,23,1
198,ER,23,1
199,AM,16,0
200,AO,14,1
201,AD,1,1
202,VN,10,1
203,IQ,2,1
204,UG,0,0
205,RW,16,0
206,BB,12,1
207,TZ,24,0
208,TG,6,0
209,DZ,17,1
210,KI,6,0
211,NZ,22,1
212,LT,7,1
213,CM,9,0
214,NG,18,1
215,BO,19,0
216,BS,1,0
217,NG,2,1
218,LK,6,0
219,NE,10,1
220,UA,20,1
221,NO,3,1
222,AG,4,0
223,LB,4,1
224,NL,11,1
225,MV,5,1
226,SD,16,0
227,NG,13,1
228,VC,16,1
229,MU,6,0
230,SO,20,1
231,BF,11,0
232,MG,3,0
233,FI,8,1
234,PK,18,0
235,BJ,14,0
236,ET,4,1
237,FR,24,0
238,LS,17,0
239,RS,16,0
240,UA,10,1
241,NO,21,1
242,EE,17,1
243,PW,9,1
244,GQ,8,0
245,PG,0,1
246,WS,8,0
247,BH,16,0
248,MU,23,0
249,OM,12,1
250,LK,0,1
251,PL,1,1
252,PL,0,0
253,LT,23,1
254,SK,11,0
255,LB,22,1
256,LB,5,0
257,NI,21,1
258,BT,14,0
259,AE,23,1
260,LV,15,1
261,ME,6,0
262,KZ,2,0
263,NE,22,0
264,MH,1,1
265,MN,5,0
266,MV,17,0
267,MM,11,1
268,GN,16,0
269,AE,22,0
270,IN,19,1
271,CR,19,0
272,GN,5,0
273,CN,1,0
274,IT,9,0
275,IT,2,0
276,SO,8,0
277,DK,2,1
278,SZ,2,0
279,AM,5,1
280,ML,3,1
281,AU,10,1
282,MX,16,1
283,KR,13,1
284,HN,22,1
285,VC,13,0
286,SI,4,0
287,AF,1,1
288,IE,17,0
289,KG,15,0
290,BO,9,0
291,BW,7,0
292,TD,9,0
293,AU,3,1
294,AO,6,0
295,NI,10,0
296,ET,11,0
297,ST,7,0
298,SB,1,1
299,TM,19,0
300,FI,10,0
301,MG,23,1
302,ZA,16,0
303,IL,7,1
304,SV,12,0
305,VU,0,0
306,PH,24,1
307,TZ,11,0
308,UA,1,1
309,SD,23,0
310,VA,21,0
311,AE,11,1
312,SA,19,0
313,IT,14,0
314,MX,6,1
315,TL,3,0
316,PH,24,1
317,ST,22,1
318,AR,21,0
319,EC,21,1
320,MW,14,1
321,ES,6,0
322,LR,13,0
323,SM,17,1
324,TV,21,0
325,PT,21,0
326,NO,3,0
327,IS,23,1
328,BF,1,1
329,EE,5,0
330,BZ,13,0
331,SR,21,0
332,IE,11,1
333,VC,23,0
334,MD,7,0
335,PA,13,1
336,RS,10,0
337,MW,7,0
338,ZA,22,0
339,CM,22,0
340,UA,12,0
341,LC,20,0
342,RS,13,1
343,AO,10,1
344,DM,9,0
345,VU,6,1
346,DZ,11,0
347,NI,14,1
348,TH,16,0
349,TO,5,1
350,BS,24,0
351,ZM,12,0
352,RU,9,1
353,CF,11,0
354,DO,19,1
355,NR,10,1
356,UG,5,1
357,IN,10,0
358,LC,9,0
359,SY,15,1
360,KM,15,1
361,VN,5,1
362,SA,22,1
363,BR,24,0
364,PE,12,1
365,TD,15,1
366,NP,21,0
367,MA,2,1
368,KW,15,0
369,VC,2,0
370,DO,2,1
371,TT,18,0
372,PA,10,1
373,BY,13,0
374,IQ,24,0
375,DZ,15,1
376,IT,23,0
377,IR,8,0
378,DM,4,0
379,NR,14,0
380,NP,14,1
381,MH,7,1
382,LV,8,0
383,ME,9,1
384,AE,3,1
385,GN,15,0
386,KE,10,0
387,CD,0,0
388,NO,17,1
389,GE,2,1
390,ZW,9,1
391,PH,8,1
392,TD,8,0
393,RW,18,0
394,PT,17,0
395,CA,23,0
396,PL,9,1
397,TV,23,1
398,NE,3,0
399,MU,22,1
400,GB,0,1
401,HN,14,0
402,SE,9,0
403,GM,10,1
404,UG,20,0
405,BR,22,0
406,MK,15,0
407,PL,16,1
408,SO,0,1
409,IL,1,0
410,VA,14,0
411,MK,22,0
412,CO,7,0
413,PL,17,0
414,LI,18,0
415,AG,10,1
416,BZ,16,0
417,BA,11,0
418,EC,7,0
419,KI,20,1
420,LS,13,1
421,KR,6,1
422,NA,24,0
423,ML,17,1
424,RU,15,1
425,NO,11,1
426,BG,9,1
427,PG,13,0
428,ZM,8,1
429,PA,15,1
430,BH,15,0
431,NP,13,1
432,PE,24,0
433,AE,16,0
434,MN,6,0
435,GD,4,0
436,NG,15,0
437,PS,9,0
438,LK,7,0
439,GE,3,0
440,EE,12,1
441,RW,9,1
442,JP,1,1
443,SC,20,0
444,PW,9,0
445,CI,13,1
446,DE,16,1
447,MK,8,1
448,GD,8,0
449,GR,21,1
450,IQ,19,0
451,KN,9,1
452,SN,2,0
453,RS,9,1
454,HT,22,1
455,FM,23,0
456,SO,14,1
457,CY,7,0
458,GY,10,0
459,TH,9,1
460,GN,7,1
461,EG,8,1
462,QA,0,1
463,LC,9,1
464,TR,19,1
465,SA,24,0
466,GH,8,1
467,BG,3,0
468,BO,20,1
469,CI,18,0
470,LU,24,0
471,LY,24,0
472,NG,12,0
473,MU,16,0
474,GR,11,0
475,CL,15,0
476,UA,11,0
477,CO,18,0
478,SD,21,0
479,AM,10,0
480,BF,11,1
481,KG,18,0
482,ZM,23,0
483,FI,13,0
484,LV,17,1
485,VA,8,0
486,SK,19,1
487,PH,0,1
488,GB,8,0
489,ZW,14,1
490,MC,15,0
491,TT,16,0
492,CO,22,1
493,ES,6,0
494,NG,22,1
495,MY,7,0
496,RO,22,1
497,SE,17,1
498,IL,10,0
499,VE,4,1
500,IR,17,1
501,IR,14,0
502,EE,24,1
503,ZM,2,0
504,MZ,7,1
505,PE,18,0
506,TR,8,1
507,WS,18,0
508,AD,23,1
509,VU,12,1
510,CA,16,0
511,BZ,6,0
512,MX,4,0
513,SO,12,1
514,SR,6,0
515,SK,6,0
516,PA,19,1
517,DO,13,0
518,ME,2,0
519,PE,6,0
520,LB,7,1
521,MG,5,1
522,CV,3,0
523,YE,3,0
524,HN,9,1
525,BR,13,1
526,BW,14,1
527,NO,3,1
528,KH,2,1
529,TO,13,0
530,BA,6,1
531,CZ,14,0
532,RS,6,0
533,NP,21,1
534,BZ,15,0
535,VE,13,0
536,CZ,13,0
537,ES,4,1
538,SY,12,0
539,TH,11,0
540,MX,3,1
541,ML,13,1
542,FR,16,0
543,FM,14,0
544,BO,0,1
545,HR,7,1
546,LI,13,1
547,IT,15,1
548,SE,9,0
549,MV,8,0
550,BD,13,1
551,TT,4,1
552,FM,14,0
553,CZ,24,0
554,LK,21,1
555,ER,9,0
556,HN,18,1
557,KM,5,1
558,CR,13,0
559,SN,10,1
560,TH,5,1
561,NO,15,0
562,TH,12,1
563,SE,19,0
564,LS,2,0
565,NG,5,1
566,AM,23,1
567,IR,3,1
568,JM,20,0
569,IN,24,0
570,GA,7,1
571,LT,1,1
572,DM,24,1
573,SG,20,0
574,AZ,16,0
575,KP,19,1
576,KN,0,0
577,LK,11,0
578,CR,1,0
579,JP,0,1
580,DK,2,0
581,PK,4,0
582,ER,18,1
583,TZ,17,0
584,TJ,5,1
585,IT,2,1
586,PH,20,1
587,KZ,24,0
588,FR,15,0
589,IR,24,0
590,IT,0,1
591,PA,21,0
592,BR,1,0
593,SM,23,0
594,CU,5,1
595,PE,19,0
596,CR,14,0
597,MV,2,1
598,MA,0,0
599,RS,1,1
600,ZW,20,0
601,NG,11,1
602,TO,5,1
603,KM,1,0
604,CN,20,1
605,NG,9,1
606,SO,16,0
607,SC,8,1
608,SR,1,0
609,FM,6,1
610,GN,23,0
611,NR,14,0
612,EC,8,0
613,JP,7,1
614,SY,3,0
615,KR,15,0
616,HT,2,0
617,PK,7,0
618,PT,1,1
619,IQ,20,0
620,PY,12,1
621,DO,20,0
622,GN,5,0
623,LI,10,0
624,ZA,3,0
625,KI,12,0
626,SB,16,0
627,SC,0,1
628,PE,10,1
629,MN,19,1
630,AM,7,0
631,JM,20,1
632,MV,0,1
633,AE,24,0
634,CR,17,1
635,KP,12,1
636,DM,15,1
637,MU,16,0
638,DZ,19,1
639,BZ,1,0
640,RO,17,0
641,MY,17,1
642,KR,18,1
643,LB,15,1
644,BS,18,0
645,AF,20,1
646,AT,9,1
647,HN,8,1
648,RS,5,0
649,RW,20,1
650,AM,15,0
651,LV,6,0
652,MW,20,0
653,KH,2,1
654,AM,13,1
655,SK,4,1
656,FM,6,0
657,BB,10,1
658,RO,4,0
659,MR,7,1
660,GB,24,1
661,DZ,1,0
662,EC,20,1
663,LU,22,0
664,TG,16,0
665,SZ,2,1
666,MG,6,1
667,JP,8,0
668,GH,7,0
669,IT,19,1
670,CN,24,1
671,JO,17,1
672,LR,21,1
673,SV,21,1
674,DO,21,1
675,AF,4,0
676,LT,0,0
677,NZ,4,1
678,BS,16,1
679,TT,17,1
680,IN,24,1
681,BN,3,0
682,NG,22,0
683,LV,5,0
684,KE,12,1
685,BG,6,0
686,PS,21,0
687,CN,6,1
688,UZ,19,1
689,SN,19,0
690,CH,8,1
691,KW,21,0
692,MM,5,0
693,MK,17,0
694,CO,10,1
695,HT,15,1
696,SC,24,1
697,GB,11,1
698,DM,12,1
699,IN,14,0
700,NZ,21,0
701,GW,1,1
702,KR,2,0
703,DZ,3,1
704,PG,12,1
705,BB,19,0
706,LR,8,0
707,GM,20,0
708,KW,0,1
709,HT,15,0
710,NP,13,1
711,AT,21,1
712,MM,5,0
713,AF,24,1
714,DM,8,0
715,TV,10,1
716,AT,1,1
717,SA,14,1
718,UA,12,1
719,IL,0,1
720,CR,10,0
721,KG,3,0
722,IQ,11,0
723,TV,17,0
724,TD,11,0
725,TW,4,0
726,SL,20,0
727,SB,14,0
728,PK,20,1
729,ER,12,1
730,CO,21,1
731,AR,24,0
732,GT,1,1
733,PE,6,1
734,GN,3,0
735,IL,7,0
736,KR,8,1
737,SY,1,0
738,NR,15,0
739,MH,14,1
740,BA,21,0
741,NE,15,1
742,WS,11,0
743,SG,20,0
744,DJ,15,1
745,KZ,3,0
746,PG,7,1
747,ST,15,0
748,BS,5,0
749,MR,7,1
750,BN,2,0
751,MT,3,1
752,MN,18,0
753,TT,8,1
754,SI,10,1
755,NA,8,0
756,BS,10,1
757,UZ,14,0
758,MM,15,0
759,AT,5,0
760,MV,19,0
761,LI,11,1
762,QA,8,1
763,AT,12,1
764,UY,1,0
765,VC,11,0
766,BR,9,1
767,MG,16,1
768,QA,17,1
769,GB,4,1
770,CR,23,1
771,AF,15,1
772,CN,4,0
773,GT,6,0
774,PY,7,0
775,LB,8,0
776,SO,24,1
777,PS,11,1
778,SI,4,0
779,FJ,15,0
780,MU,1,0
781,BR,20,0
782,US,7,0
783,TO,5,1
784,TJ,0,1
785,NI,8,1
786,KE,22,0
787,FI,23,1
788,CZ,21,1
789,GW,13,0
790,SY,7,0
791,SN,10,0
792,BN,6,0
793,GD,14,0
794,KW,15,1
795,MG,16,0
796,DM,17,0
797,IT,18,0
798,TG,24,0
799,BT,12,0
800,TR,14,0
801,BR,5,0
802,AR,17,1
803,EG,9,0
804,MA,0,1
805,CO,5,0
806,DJ,6,1
807,DK,5,1
808,VN,5,1
809,ME,17,1
810,SY,2,1
811,GM,10,0
812,LI,11,0
813,NE,7,1
814,SR,5,1
815,DZ,23,1
816,TL,18,1
817,SM,15,1
818,BN,19,0
819,ZM,23,0
820,VC,0,1
821,CY,23,0
822,DM,23,0
823,NR,4,0
824,FR,22,1
825,TN,3,0
826,PY,15,0
827,YE,6,0
828,AG,16,1
829,YE,21,0
830,MA,7,1
831,BG,23,1
832,DJ,6,1
833,PE,1,0
834,AE,11,0
835,LC,10,0
836,PG,1,0
837,LB,5,1
838,IT,23,0
839,SN,2,0
840,US,13,1
841,SN,24,1
842,CN,11,0
843,AE,14,1
844,EC,24,0
845,KE,16,1
846,RO,17,1
847,US,8,1
848,MW,7,1
849,MG,17,1
850,DJ,1,0
851,LI,17,1
852,KR,13,0
853,MW,10,0
854,RU,15,0
855,BG,17,0
856,SN,1,1
857,BY,8,1
858,NO,16,1
859,ML,2,1
860,MZ,0,1
861,SG,1,0
862,JP,0,0
863,ES,17,1
864,BB,12,0
865,BZ,18,0
866,SD,13,1
867,GY,16,0
868,MR,19,1
869,BA,19,1
870,NR,17,1
871,ZW,20,0
872,BB,19,1
873,MG,24,1
874,BG,22,0
875,TH,11,0
876,SV,5,0
877,MX,19,1
878,YE,22,1
879,PE,14,1
880,ZW,7,0
881,MC,21,1
882,CA,15,1
883,CF,1,1
884,VE,14,1
885,BW,9,1
886,SD,7,1
887,KP,0,1
888,SL,16,1
889,FI,18,1
890,ST,23,0
891,VC,18,1
892,CN,23,0
893,MX,24,1
894,ZW,20,0
895,CN,4,1
896,KH,15,1
897,MD,1,0
898,HU,22,1
899,GN,7,1
900,RS,23,1
901,GY,22,1
902,LB,1,0
903,NA,4,1
904,PK,16,0
905,MW,18,1
906,TR,21,1
907,TD,8,0
908,BJ,10,1
909,MK,12,1
910,SK,18,1
911,GY,11,1
912,SG,24,1
913,BZ,12,1
914,LK,13,1
915,ME,1,1
916,IR,19,0
917,PW,15,0
918,VE,22,0
919,LR,19,0
920,NZ,17,0
921,SE,13,1
922,SN,5,0
923,IT,23,1
924,GH,4,1
925,RS,11,0
926,SA,1,0
927,VU,17,0
928,CM,11,1
929,ZM,15,0
930,IT,4,0
931,BT,19,0
932,EE,23,1
933,AG,8,0
934,TL,7,1
935,MV,9,0
936,UG,19,0
937,FM,7,0
938,PT,2,1
939,FM,6,1
940,SM,13,0
941,TM,4,0
942,MD,6,0
943,VU,23,0
944,MN,16,1
945,CI,1,1
946,CZ,8,0
947,ZM,2,0
948,AL,8,0
949,SZ,22,1
950,HT,13,0
951,AZ,8,1
952,KG,9,1
953,SR,9,1
954,RO,0,1
955,SV,18,1
956,IR,6,1
957,VN,2,0
958,UA,2,1
959,TM,1,1
960,GY,14,1
961,SD,10,0
962,PW,7,0
963,MT,22,1
964,CZ,17,1
965,VE,22,1
966,NE,15,0
967,CR,23,1
968,MX,23,1
969,MV,18,0
970,RO,10,0
971,CH,10,0
972,CM,17,1
973,NL,2,1
974,FI,5,0
975,HN,18,0
976,CI,15,1
977,GM,19,0
978,MG,2,0
979,DK,18,1
980,MT,21,0
981,AM,14,1
982,SZ,13,0
983,BI,10,0
984,BZ,4,1
985,CA,17,1
986,TZ,13,0
987,HR,4,1
988,MA,17,0
989,ZM,0,1
990,TV,5,1
991,AF,1,1
992,SC,15,0
993,KR,0,0
994,CZ,7,0
995,HT,9,0
996,DK,13,0
997,GN,11,1
998,DZ,14,0
999,EE,2,1
1000,JO,15,1
1001,MX,13,0
1002,DJ,9,1
1003,VN,11,0
1004,DE,17,0
1005,FR,20,0
1006,PY,24,1
1007,ZA,12,1
1008,PE,21,0
1009,BS,12,0
1010,GB,1,0
1011,AR,1,1
1012,AU,17,0
1013,AD,9,0
1014,SL,15,1
1015,IQ,9,1
1016,SB,1,0
1017,BI,4,1
1018,MR,18,1
1019,TV,19,1
1020,VE,19,1
1021,BE,18,1
1022,MR,4,0
1023,CG,14,1
1024,BE,15,0
1025,UY,17,1
1026,CV,7,1
1027,DZ,16,0
1028,DJ,18,1
1029,BB,20,0
1030,IQ,0,0
1031,CG,3,0
1032,ER,16,1
1033,IN,19,1
1034,VN,16,1
1035,KG,15,0
1036,TD,20,1
1037,ZA,21,1
1038,IL,14,1
1039,VN,2,0
1040,DM,9,1
1041,IE,17,0
1042,LB,1,0
1043,FJ,4,0
1044,CU,12,1
1045,CY,22,1
1046,SZ,23,1
1047,TG,19,1
1048,MY,7,0
1049,GQ,0,1
1050,SM,20,0
1051,EC,15,0
1052,LC,22,1
1053,GY,7,0
1054,SY,16,1
1055,LY,24,0
1056,IS,7,1
1057,BZ,24,0
1058,BG,16,1
1059,TJ,23,0
1060,TV,23,0
1061,GB,21,1
1062,BD,13,0
1063,HN,6,0
1064,US,22,0
1065,AZ,14,1
1066,MK,18,0
1067,GB,16,0
1068,MV,3,0
1069,LV,8,0
1070,CO,0,1
1071,BJ,6,0
1072,LS,2,1
1073,BZ,24,0
1074,SD,19,0
1075,GA,24,0
1076,BJ,21,0
1077,GD,8,0
1078,MA,10,1
1079,BF,7,1
1080,DE,22,1
1081,PL,5,1
1082,PL,8,0
1083,MN,20,1
1084,EC,10,1
1085,GQ,23,0
1086,MT,20,0
1087,LU,15,1
1088,SC,12,0
1089,CI,16,0
1090,LU,20,1
1091,IN,10,0
1092,SD,1,0
1093,IT,23,0
1094,HT,24,1
1095,FM,19,0
1096,TT,16,1
1097,OM,1,1
1098,GB,24,1
1099,VE,9,0
1100,YE,23,1
1101,CO,5,0
1102,GN,15,1
1103,BA,13,0
1104,IE,13,0
1105,YE,19,0
1106,MA,10,1
1107,PH,24,1
1108,FR,1,1
1109,AD,11,1
1110,SE,24,1
1111,PK,4,1
1112,CZ,2,0
1113,TW,3,0
1114,SM,5,0
1115,YE,5,0
1116,NL,15,1
1117,BI,20,0
1118,NR,22,1
1119,KZ,14,0
1120,MT,12,0
1121,LY,19,1
1122,MC,7,1
1123,FJ,14,0
1124,RU,8,1
1125,GD,21,1
1126,HT,15,1
1127,NG,2,0
1128,PA,3,0
1129,TO,14,1
1130,NZ,18,1
1131,RS,20,0
1132,VN,22,0
1133,AZ,1,0
1134,GW,13,0
1135,ME,7,1
1136,IR,6,0
1137,NE,21,1
1138,YE,13,0
1139,KE,3,0
1140,GB,12,0
1141,ET,7,1
1142,YE,13,1
1143,EC,18,0
1144,CV,14,1
1145,TR,8,0
1146,LC,12,1
1147,TJ,0,1
1148,TW,14,1
1149,BB,6,1
1150,MK,12,1
1151,LC,0,0
1152,SM,9,0
1153,VA,2,0
1154,KN,13,0
1155,PG,23,0
1156,BI,22,0
1157,CI,20,1
1158,IR,23,1
1159,FJ,9,1
1160,ID,7,1
1161,JP,11,0
1162,IT,11,0
1163,DZ,4,0
1164,GM,14,0
1165,HU,21,0
1166,SC,0,0
1167,MY,3,1
1168,CF,10,0
1169,BF,10,0
1170,SA,23,0
1171,BG,9,1
1172,SD,7,1
1173,LI,20,0
1174,LY,17,1
1175,SG,17,0
1176,BD,21,1
1177,AD,7,0
1178,GQ,8,0
1179,PY,11,0
1180,IE,6,1
1181,GR,23,1
1182,SB,7,1
1183,BI,16,1
1184,MV,6,1
1185,CI,23,0
1186,VC,7,1
1187,NO,22,0
1188,ZA,9,0
1189,TT,9,1
1190,PA,11,1
1191,RW,8,1
1192,FI,21,1
1193,TM,12,0
1194,SI,8,1
1195,NP,2,0
1196,GB,9,0
1197,TH,1,1
1198,ID,20,0
1199,BO,7,1
1200,PK,10,1
1201,AU,23,1
1202,PL,10,0
1203,MC,17,1
1204,JO,22,1
1205,GD,16,0
1206,AD,24,1
1207,AZ,2,0
1208,BH,16,0
1209,AO,8,1
1210,KI,9,0
1211,DK,22,0
1212,HR,7,0
1213,ID,8,1
1214,CG,14,0
1215,CH,24,0
1216,GA,20,1
1217,TW,23,0
1218,US,1,1
1219,TJ,8,1
1220,SC,13,1
1221,DM,6,1
1222,ZM,1,0
1223,EG,19,0
1224,CG,8,0
1225,CH,23,1
1226,CD,10,1
1227,CU,1,0
1228,VA,24,1
1229,NA,5,1
1230,MD,19,1
1231,PL,23,1
1232,PE,14,1
1233,KP,4,0
1234,NR,14,1
1235,PH,18,1
1236,HT,5,1
1237,TM,1,0
1238,LT,9,0
1239,VA,16,1
1240,NI,6,1
1241,AE,20,1
1242,TM,18,0
1243,TL,14,0
1244,FJ,9,0
1245,SG,15,0
1246,CR,11,1
1247,MM,18,0
1248,VA,23,1
1249,TW,7,0
1250,PS,4,1
1251,CA,21,1
1252,TZ,11,0
1253,VU,14,1
1254,ML,6,0
1255,OM,12,1
1256,SD,5,1
1257,KP,2,0
1258,LA,3,1
1259,BE,23,0
1260,PW,19,0
1261,NI,2,1
1262,NA,10,0
1263,HN,24,1
1264,BH,3,1
1265,MN,0,0
1266,KR,5,0
1267,TZ,21,0
1268,GD,9,0
1269,PK,24,1
1270,CD,6,0
1271,LU,22,0
1272,IQ,22,1
1273,CD,16,0
1274,BB,2,0
1275,NE,9,0
1276,PL,12,0
1277,PY,21,0
1278,SI,11,1
1279,GY,23,1
1280,ES,7,1
1281,UZ,18,1
1282,SO,21,1
1283,LV,13,1
1284,BE,9,1
1285,ZM,6,1
1286,GT,8,1
1287,SA,19,0
1288,ER,10,0
1289,TJ,21,0
1290,DK,17,1
1291,UY,11,0
1292,NL,18,1
1293,VC,24,0
1294,PT,23,1
1295,MK,13,1
1296,BN,24,0
1297,BE,14,0
1298,SY,0,0
1299,PE,17,1
1300,MK,10,0
1301,UA,24,1
1302,CA,3,1
1303,RW,13,0
1304,HR,0,1
1305,AE,17,0
1306,ID,5,0
1307,AM,22,0
1308,NI,15,0
1309,VU,8,0
1310,BD,2,1
1311,ZA,0,1
1312,IL,12,0
1313,FI,2,0
1314,DZ,16,1
1315,NA,13,0
1316,BT,20,0
1317,PW,24,1
1318,ME,0,1
1319,NP,11,0
1320,SK,6,0
1321,GM,5,0
1322,SR,1,1
1323,IR,12,0
1324,EE,8,0
1325,NP,18,0
1326,CZ,23,0
1327,MA,4,1
1328,JO,8,0
1329,SB,18,0
1330,AE,1,1
1331,PH,3,0
1332,HR,1,0
1333,VC,1,1
1334,HN,19,0
1335,SK,13,0
1336,NZ,16,1
1337,PA,22,0
1338,SC,24,0
1339,JM,16,0
1340,NZ,22,1
1341,PH,14,1
1342,GT,22,1
1343,MN,18,0
1344,ML,14,1
1345,NI,6,1
1346,TG,9,0
1347,DM,2,0
1348,QA,10,1
1349,MK,5,1
1350,LV,8,1
1351,TL,5,0
1352,HU,13,1
1353,IL,3,0
1354,BH,19,0
1355,GA,18,1
1356,BZ,3,1
1357,KZ,22,0
1358,SK,16,0
1359,AM,9,0
1360,BZ,0,1
1361,SC,6,0
1362,AF,3,1
1363,UA,1,0
1364,HN,23,0
1365,US,4,1
1366,SD,10,1
1367,RW,3,1
1368,TN,22,0
1369,FJ,17,1
1370,MA,8,0
1371,MZ,5,1
1372,TL,2,1
1373,AD,0,0
1374,EE,13,1
1375,TD,11,1
1376,SB,19,0
1377,MR,12,0
1378,KI,13,1
1379,UZ,4,1
1380,MR,6,1
1381,LC,20,1
1382,LK,12,0
1383,TZ,2,0
1384,MY,3,1
1385,BI,3,1
1386,GA,17,1
1387,US,1,0
1388,CL,19,0
1389,IQ,11,0
1390,IE,4,0
1391,MX,8,1
1392,MW,11,0
1393,PW,11,0
1394,SC,1,1
1395,TZ,20,1
1396,SV,2,1
1397,BG,3,0
1398,VA,5,0
1399,BR,14,0
1400,MV,1,0
1401,UG,24,1
1402,CV,22,1
1403,HR,19,0
1404,PG,23,1
1405,GW,2,0
1406,US,21,0
1407,MZ,14,0
1408,LC,23,0
1409,SC,13,0
1410,MA,0,0
1411,LK,8,1
1412,LI,9,0
1413,FM,20,1
1414,LA,2,0
1415,SD,7,0
1416,UZ,24,1
1417,KW,6,1
1418,NG,0,0
1419,CN,0,1
1420,AO,5,0
1421,JP,10,1
1422,JP,19,0
1423,BI,10,0
1424,BT,20,1
1425,ZW,17,1
1426,CY,0,0
1427,AT,12,0
1428,RO,11,1
1429,FR,13,1
1430,AG,18,1
1431,BS,10,0
1432,CA,3,0
1433,CI,9,0
1434,VE,9,1
1435,EE,18,1
1436,KN,8,1
1437,CG,3,0
1438,TH,9,0
1439,TO,6,0
1440,SO,20,0
1441,CY,11,1
1442,AO,0,0
1443,LV,20,1
1444,ZA,12,0
1445,IQ,12,0
1446,SK,11,0
1447,AE,4,0
1448,KE,24,1
1449,CG,8,0
1450,IS,0,0
1451,DZ,17,0
1452,GY,0,0
1453,SY,21,0
1454,ER,20,1
1455,NO,12,0
1456,HR,11,0
1457,UY,15,1
1458,BA,11,1
1459,RU,0,0
1460,KH,12,0
1461,HT,1,0
1462,TM,1,0
1463,IS,22,1
1464,SI,11,0
1465,GY,21,0
1466,HR,17,0
1467,BG,18,0
1468,BF,0,0
1469,BZ,3,1
1470,BD,8,1
1471,TN,2,1
1472,LV,10,1
1473,SY,13,0
1474,CL,5,1
1475,TT,21,0
1476,AL,0,1
1477,NR,3,1
1478,SY,15,1
1479,MU,16,0
1480,TN,11,0
1481,TJ,9,0
